user_id,item_id,timestamp
1001,5001,2023-10-15 08:31:15
1001,5002,2023-10-15 08:33:20
1002,5003,2023-10-15 09:16:45
1003,5001,2023-10-15 10:06:22
1001,5004,2023-10-15 11:21:30
1004,5005,2023-10-15 12:46:15
1002,5006,2023-10-15 13:11:40
1005,5007,2023-10-15 14:23:50
1003,5008,2023-10-15 15:08:25
1001,5002,2023-10-15 15:11:10
1006,5009,2023-10-15 16:31:30
1007,5010,2023-10-15 17:16:40
1002,5011,2023-10-15 18:03:30
1008,5012,2023-10-15 19:45:40
1001,5013,2023-10-15 20:11:15
1009,5014,2023-10-15 21:34:40
1010,5015,2023-10-15 22:46:25
1001,5016,2023-10-16 09:06:45
1002,5017,2023-10-16 10:21:30
1003,5018,2023-10-16 11:46:15
1001,5019,2023-10-16 12:11:45
1004,5020,2023-10-16 14:08:25
1001,5021,2023-10-16 15:31:25
1002,5022,2023-10-16 16:46:40
1001,5023,2023-10-16 18:01:10
1001,5024,2023-10-17 09:21:55
1001,5025,2023-10-17 10:16:40
1002,5026,2023-10-17 11:31:25
1001,5027,2023-10-17 12:46:30
1001,5028,2023-10-17 14:01:20
1003,5029,2023-10-17 15:21:45
1001,5030,2023-10-17 16:36:55
1001,5031,2023-10-17 17:51:10
1001,5032,2023-10-17 19:06:25
1001,5033,2023-10-17 20:21:40
1001,5034,2023-10-17 21:36:55
1001,5035,2023-10-17 22:52:10
1001,,2023-10-17 23:05:25
,5036,2023-10-17 23:15:40
